"","datetime","thermo.depth"
"366",2019-01-21,4.25
"367",2019-02-08,NA
"368",2019-03-18,5.75
"369",2019-04-01,5.75
"370",2019-04-29,NA
"371",2019-05-06,4.25
"372",2019-05-13,4.25
"373",2019-05-20,5.75
"374",2019-05-27,4.75
"375",2019-05-30,NA
"376",2019-06-03,3.55577778897743
"377",2019-06-06,5.09135762592549
"378",2019-06-10,3.07801005156002
"379",2019-06-13,3.27143584619102
"380",2019-06-17,3.27267938675019
"381",2019-06-20,3.06514942017373
"382",2019-06-24,2.49681991414623
"383",2019-06-27,3.62169856960581
"384",2019-07-01,1.90560645854912
"385",2019-07-03,2.39143881269506
"386",2019-07-08,3.10410470344214
"387",2019-07-15,2.36259609921931
"388",2019-07-18,2.35631922430884
"389",2019-07-22,2.54399215250526
"390",2019-07-29,2.81738476511899
"391",2019-08-01,3.25501494969364
"392",2019-08-05,3.5457249736407
"393",2019-08-08,3.59805113329487
"394",2019-08-12,4.51677690387455
"395",2019-08-14,3.19326877521841
"396",2019-08-15,3.33459580660247
"397",2019-08-19,3.24528069063366
"398",2019-08-22,3.20392440678422
"399",2019-08-28,2.90622677029581
"400",2019-09-02,3.74997596433128
"401",2019-09-04,5.54262864646633
"402",2019-09-11,4.13285696161102
"403",2019-09-20,3.35557207599811
"404",2019-09-27,3.47807158246277
"405",2019-10-02,3.72472559344278
"406",2019-10-04,4.01118141386998
"407",2019-10-11,4.04252427580017
"408",2019-10-22,5.3849266306245
"409",2019-10-23,NA
"410",2019-10-25,NA
"411",2019-10-28,1.69707527758545
"412",2019-10-30,1.76469957785831
"413",2019-11-04,NA
"414",2019-11-08,NA
"415",2019-11-20,NA
"416",2019-12-06,NA
"417",2020-02-29,NA
"418",2020-03-16,3.75
"419",2020-03-24,4.75
"420",2020-03-30,3.75
"421",2020-04-04,4.25
"422",2020-04-10,4.25
"423",2020-04-13,5.75
"424",2020-04-20,4.80793263165664
"425",2020-04-27,4.68935284918504
"426",2020-05-04,2.75
"427",2020-05-11,5.00310964956544
"428",2020-05-18,3.8731598832688
"429",2020-05-25,5.90134755421191
"430",2020-06-03,2.75
"431",2020-06-08,2.75
"432",2020-06-12,2.75
"433",2020-06-18,3.54258317330728
"434",2020-06-22,3.6355779678323
"435",2020-06-25,2.04300182253542
"436",2020-06-28,4.72477930429837
"437",2020-06-29,1.35107772617688
"438",2020-07-02,3.60196596674485
"439",2020-07-06,2.70977329797083
"440",2020-07-08,6.25
"441",2020-07-09,3.14180144068439
"442",2020-07-13,1.81081563847038
"443",2020-07-17,2.044997120907
"444",2020-07-20,3.69120515941067
"445",2020-07-23,2.36393953964759
"446",2020-07-27,3.52789783889232
"447",2020-07-30,2.65397248104069
"448",2020-08-03,2.79803497749931
"449",2020-08-06,3.11669937915185
"450",2020-08-10,3.22334012924172
"451",2020-08-17,2.4493776030924
"452",2020-08-24,3.64795102621197
"453",2020-09-02,2.68504727609989
"454",2020-09-03,3.15599875963428
"455",2020-09-09,3.21311373420939
"456",2020-09-10,5.75
"457",2020-09-11,3.03075584958821
"458",2020-09-14,5.75
"459",2020-09-15,4.54117271740039
"460",2020-09-16,4.25
"461",2020-09-19,5.75
"462",2020-09-21,3.74628275150402
"463",2020-09-25,3.74717807594624
"464",2020-09-30,3.67517976090371
"465",2020-10-04,5.06739042869783
"466",2020-10-06,4.33167412188235
"467",2020-10-13,4.35729307074758
"468",2020-10-16,4.10276483934898
"469",2020-10-17,4.35573704516163
"470",2020-10-19,4.88821316708639
"471",2020-10-28,4.55359463801402
"472",2020-11-02,NA
"473",2020-11-04,1.26288185304971
"474",2020-11-09,1.21368924164757
"475",2020-11-10,2.75
"476",2020-12-14,6.17430663067214
"477",2021-02-08,NA
"478",2021-02-26,NA
"479",2021-03-22,1.76106452545976
"480",2021-03-31,2.6986629333957
"481",2021-04-16,1.80076806019105
"482",2021-04-18,4.75
"483",2021-04-26,3.67769660502444
"484",2021-05-06,2.62735658515495
"485",2021-05-14,3.31966623375512
"486",2021-05-24,3.20683709625488
